[Config Log (seed = 1509322528)]
{
  "solution_file": "solutions/bonus_2_p3_f1.txt",
  "log_file": "logs/bonus_2_p3_f1.txt",
  "runs": 30,
  "num_parents": 20,
  "num_offspring": 140,
  "solution_init": "",
  "sharing": false,
  "parent_selection": {
    "selection_weight": "Random",
    "rate_p": 0.8,
    "select_k": 3,
    "replacement": true,
    "adaptive_crossover": true,
    "rate_adjacency_crossover": 0.15
  },
  "survival_selection": {
    "selection_weight": "Crowding",
    "drop_parents": true,
    "rate_p": 1,
    "select_k": 5,
    "replacement": false
  },
  "mutations": {
    "adaptive": true,
    "creep_random": 0.1,
    "rotate_random": 0.1,
    "slide_random": 0.1
  },
  "terminations": {
    "eval_limit": 10000
  },
  "fitness": {
    "length": true,
    "width": true,
    "cut": false,
    "adjacents": true
  }
}




[Results Log]

[Run 0]
8018	53.05	145	5.65	13	2470.1	2496
8319	54.95	153	5.7	13	2467.7	2496
8622	57.2	153	6.05	13	2466	2496
8929	60.7	153	6	13	2464.6	2496
9242	60.85	153	5.4	13	2466.4	2496
9554	63.75	153	5	13	2466.1	2496
9869	61.5	153	5.55	13	2464.3	2496
10177	65.5	153	5.5	13	2461.5	2496

[Run 3]
20	6.45	20	2	2	2485.3	2496
224	37.35	131	2.45	7	2471.9	2496
440	47.8	126	2.55	7	2468.6	2496
665	47.75	126	3.1	10	2469.2	2496
898	55.45	110	3.5	10	2465.5	2496
1141	50.45	138	4.05	10	2466.3	2496
1389	48.5	136	4.55	10	2464.8	2498
1641	55.85	136	4.7	10	2461.2	2498
1899	55.95	136	4.3	10	2465.1	2498
2159	60.15	136	4.3	10	2463.8	2498
2419	58.8	136	5.2	10	2459.4	2498
2683	52.75	136	5	10	2465.6	2498
2951	54.2	136	4.95	10	2466.7	2498
3217	63	136	4.85	10	2459.5	2498
3486	60.75	136	4.8	10	2459.6	2498
3756	58.35	136	4.9	10	2463	2498
4033	57.75	136	4.85	10	2463.9	2498
4311	59.85	144	4	10	2467.2	2498
4593	57.55	136	4.2	10	2466.8	2498
4875	59.05	141	3.55	10	2467	2498
5162	57.65	136	3.55	10	2472.2	2498
5452	58.9	136	3.4	10	2471.2	2498
5744	58.25	136	3.45	10	2470.7	2498
6034	55.1	136	3.5	10	2473.5	2498
6326	61.6	136	4.3	10	2463.2	2498
6621	59.5	136	4.45	10	2464	2498
6920	53	136	4.45	10	2467.6	2498
7223	54.55	136	4.25	10	2469.3	2498
7527	54.35	136	4.1	10	2469.7	2498
7831	51.3	136	4.65	10	2468.5	2498
8138	55.45	131	4.45	10	2469.7	2498
8445	61.1	132	4.2	10	2467.1	2498
8750	58.65	150	5.25	11	2463.7	2498
9059	59.9	150	4.95	11	2464	2498
9368	59.05	150	4.95	11	2466.3	2498
9682	58.45	150	4.4	10	2468	2498
10000	58.45	150	4.2	10	2468.5	2498

[Run 4]
20	5.8	26	2.05	3	2484	2492
229	54.8	152	2.25	4	2460.7	2496
444	59.1	140	2.75	8	2462.1	2496
666	57.05	142	3.1	8	2463.2	2496
896	46.65	142	3.1	8	2473.8	2496
1134	58.85	142	2.9	8	2475.9	2496
1377	62	142	3	6	2473.4	2496
1622	55.5	142	3.4	6	2475.3	2496
1872	58.1	142	3.8	10	2472.1	2496
2127	55.5	142	4.05	10	2472.7	2496
2388	57.1	142	3.9	10	2475.8	2498
2641	53.95	142	4.05	10	2475.7	2498
2894	55.45	142	4	10	2474	2498
3148	55.7	142	4.25	10	2473.1	2498
3403	50.35	121	3.95	10	2479.3	2498
3659	51	127	4.3	10	2474.2	2498
3919	46	146	4.5	10	2473.2	2498
4183	51.6	153	4.7	10	2469.8	2498
4450	58.55	153	4.95	13	2465.5	2498
4725	58.95	121	5.15	13	2464.8	2498
5004	52.1	133	5.9	13	2464.9	2498
5286	50.75	121	5.85	13	2470.7	2498
5566	49.95	127	6.25	13	2470	2498
5850	47.9	121	6.35	13	2471.2	2498
6130	45.75	121	6.4	13	2472.3	2498
6410	42.4	121	6.55	13	2470.1	2498
6694	47.4	126	6.8	13	2469.7	2496
6981	47.3	141	6.9	13	2467.3	2496
7270	48.5	141	7.5	13	2462.4	2496
7564	47.3	141	7.75	13	2464.3	2496
7862	56.85	147	6.65	13	2466.8	2496
8161	60.5	147	6.75	13	2467.5	2496
8455	64.4	154	6.85	13	2460.3	2496
8750	61.25	154	7.35	13	2462.4	2496
9047	60.85	154	7.1	13	2463.9	2496
9344	57.8	154	7.25	13	2465.2	2496
9641	56.65	154	7.45	13	2467.5	2494
9940	55.6	154	8.1	13	2466	2494
10242	56.4	154	8.1	13	2466.1	2494

[Run 5]
20	5	15	2.05	3	2485.9	2492
225	31	132	2.3	6	2475.9	2498
440	42.2	132	2.35	6	2474.2	2498
666	42.95	132	2.4	5	2473.9	2498
897	44	132	2.55	4	2471.1	2498
1134	43.55	132	2.9	10	2471	2498
1376	50.6	132	3.35	10	2469.4	2498
1625	52.3	153	3.6	10	2471.1	2498
1875	57.3	153	3.45	10	2469.5	2498
2129	53.4	153	4.1	10	2467.3	2498
2386	57.1	153	4	10	2467	2498
2643	58.3	132	4.1	10	2466.2	2498
2903	56.5	132	4.3	10	2466.7	2498
3165	54.55	132	4.75	10	2464	2498
3432	59.4	148	4.55	10	2464.7	2498
3702	54.75	132	5.15	10	2462.9	2498
3973	55.25	132	5.55	10	2464	2498
4248	56.8	138	5.7	12	2459.9	2498
4523	55.4	138	4.95	12	2465.5	2498
4799	56.3	146	5.15	12	2465.9	2498
5077	53.55	146	5.2	12	2466.6	2498
5355	53.6	146	5.25	12	2465.9	2498
5635	51	146	5.5	12	2466.3	2498
5916	45.5	146	5.1	9	2471.7	2498
6199	44.45	146	4.95	9	2472.3	2498
6481	45.8	146	4.9	9	2470.8	2498
6761	49.2	146	4.95	10	2470.5	2498
7046	53.75	146	4.75	11	2471.7	2498
7334	52.35	146	5	11	2470.4	2498
7625	51.45	146	5.35	11	2469	2498
7918	56.45	146	5.35	11	2466.2	2498
8213	58.7	155	5.55	11	2465.8	2498
8509	59.7	155	5.9	11	2460	2498
8806	56.75	155	5.45	11	2463.5	2498
9103	56.4	155	6	11	2462.2	2498
9403	56.7	155	5.6	11	2465.5	2498
9702	56.6	155	5.65	11	2465.5	2498
10001	56.65	155	5.75	11	2465	2498

[Run 6]
20	8.2	19	1.95	3	2486.5	2496
224	36.1	132	2.15	7	2471.3	2492
441	57.2	148	2.45	7	2464	2496
663	63.05	141	2.45	7	2464.3	2496
895	62.45	141	3.15	10	2461.4	2496
1131	60.05	141	3.2	10	2462.2	2496
1373	60.5	143	3.4	10	2462.4	2496
1615	52.2	140	4.75	10	2455.6	2496
1864	43.55	134	4.8	10	2461.3	2496
2118	52.7	145	4.3	9	2460.6	2496
2382	51.6	134	5.15	12	2457.9	2496
2655	52.25	119	5	12	2459.9	2496
2932	54.05	141	5.05	12	2462.4	2496
3207	54.75	141	5.1	12	2460.7	2490
3486	53.45	110	5.1	12	2464.7	2490
3771	57.3	118	5.6	12	2461.8	2490
4058	55.45	118	5.45	12	2464.5	2490
4347	53.45	118	5.5	12	2464.8	2492
4640	53.65	126	5.75	12	2463	2492
4928	56.4	143	5.9	12	2458	2492
5221	57.55	143	5.85	12	2453.1	2492
5518	53.35	143	6.5	12	2456.6	2492
5819	50.5	123	7	13	2460.9	2492
6116	49.75	123	7.1	13	2458.7	2492
6412	50	129	6.9	13	2461.6	2492
6714	53.45	133	6.45	13	2458.3	2492
7017	56.7	145	6.5	13	2460.1	2492
7323	56.3	133	6.8	13	2459.6	2492
7630	51.65	133	6.6	13	2463.6	2492
7942	52.85	140	6.65	13	2464.2	2490
8260	51.3	140	7.25	13	2463	2490
8583	52.6	143	7.05	13	2464.1	2490
8906	57.6	143	6.9	13	2463.4	2490
9232	54.3	143	7.05	13	2464.8	2490
9559	55	143	7	13	2464.6	2488
9889	59	138	7.1	13	2462.6	2488
10212	59.35	138	7	13	2462.4	2488

[Run 7]
20	4.25	13	1.8	2	2485.7	2496
224	31.15	142	2.35	7	2477.9	2498
438	37.05	123	3.1	7	2473.1	2498
663	41.8	123	3.3	7	2467.7	2498
893	42.7	123	3.15	6	2470.2	2498
1126	50.8	129	3.2	6	2468.3	2498
1359	52.75	129	3.2	6	2465.2	2498
1594	54.75	146	3.25	7	2464.2	2498
1834	52.05	146	3.25	7	2467.8	2498
2079	55.05	149	3.55	7	2466.6	2500
2332	60.6	149	3.35	8	2463.6	2500
2590	59.4	149	3.25	8	2466.3	2500
2852	67.2	149	3.05	9	2466	2500
3113	66.25	149	3.3	9	2465.2	2500
3376	67.05	149	3.4	9	2466	2500
3642	67	149	3.35	9	2467	2500
3912	67.45	149	3.55	9	2465.4	2500
4184	64.15	149	3.5	9	2466.3	2500
4460	64.6	149	3.6	9	2464.8	2500
4735	67.9	149	2.8	7	2468.7	2500
5014	68.15	154	2.6	7	2470.6	2500
5296	58.8	154	2.8	7	2473.3	2500
5579	58.25	154	2.9	8	2472	2500
5865	55.55	129	3.1	8	2472.4	2500
6152	59.85	129	3.25	8	2470.3	2500
6441	59.65	139	4.25	9	2463.2	2500
6736	57.9	147	4.4	9	2463	2500
7033	56	147	4.4	13	2468.4	2500
7335	55.6	147	4.3	13	2466.3	2500
7637	56.2	147	4.35	13	2468.1	2500
7941	54.45	147	5.4	13	2463.4	2500
8248	59.25	147	5.45	13	2461.5	2500
8555	57.25	147	5.75	13	2460.4	2500
8865	60.1	147	5.45	13	2461.3	2500
9177	61.65	147	5.4	13	2459.2	2500
9494	63	147	5.7	13	2461.1	2500
9814	65.4	147	6	13	2456.9	2500
10134	67.5	147	5.45	13	2457.5	2500

[Run 8]
20	6	14	1.8	2	2484.7	2492
226	36.15	145	1.85	3	2475.3	2496
436	55.45	145	2.25	8	2467.8	2496
659	54.6	145	2.55	8	2468.8	2496
884	64.05	145	3.05	8	2461.1	2496
1115	68.85	145	3.65	13	2457.8	2490
1350	70.65	145	3.55	13	2461.6	2490
1592	72.6	145	3.65	13	2462.4	2488
1839	73.35	145	4.3	13	2455.9	2488
2092	72.15	145	4.55	13	2457.5	2488
2352	65.6	145	5.65	13	2459.3	2488
2621	61.2	145	6.6	13	2457.8	2488
2892	47.75	145	7.1	13	2458.7	2488
3174	58.15	145	6.5	13	2456.7	2488
3459	55.9	145	6.4	13	2460	2490
3750	56.25	145	7	13	2457.5	2486
4045	56.2	145	7.65	13	2452.7	2484
4347	59.5	145	7.65	13	2453.7	2484
4648	60.1	145	7.6	13	2453.6	2484
4949	62.45	145	7.7	13	2452.9	2484
5256	60.2	145	8.35	13	2453.2	2484
5567	55.25	145	8.45	13	2453.7	2484
5881	54.85	145	7.7	13	2457	2488
6198	54.95	145	7.35	13	2457.6	2488
6516	59.5	145	7.6	13	2453.9	2488
6837	57.25	145	7.9	13	2458.3	2488
7164	56.65	145	7.9	13	2458.4	2488
7492	59.85	145	8.45	13	2456.7	2488
7823	62.85	145	8.15	13	2459	2488
8142	64.4	145	7.65	13	2457.6	2488
8459	67.2	119	6.9	13	2462.9	2488
8779	70.35	145	6.4	13	2462.2	2488
9100	72.55	145	6.9	13	2453.5	2488
9427	71.05	132	7.1	13	2455.9	2488
9758	67.7	132	7.2	13	2457.9	2488
10092	66.4	132	7.3	13	2458.4	2488

[Run 9]
20	5.8	19	1.85	2	2486.6	2496
226	34.45	129	2.1	4	2480.2	2496
437	45.15	131	2.5	9	2476.9	2496
658	51.35	131	2.8	9	2470.6	2498
888	52.25	169	2.95	9	2468.7	2498
1123	53.4	169	3.25	8	2464.2	2496
1361	56.35	169	3.5	8	2464	2496
1601	63.3	169	3.45	8	2460	2496
1843	67.15	147	3.5	8	2461.9	2496
2090	65.6	143	3.25	8	2466.2	2496
2338	63.65	143	3.15	8	2467.8	2498
2594	55.1	143	3.75	9	2465.9	2498
2853	58.65	143	3.75	9	2462.3	2498
3113	55.8	143	3.9	9	2466.1	2498
3376	54.55	143	4.45	10	2464.7	2498
3644	54.75	143	4.45	10	2464.8	2498
3912	52.35	133	4.7	10	2465.1	2498
4184	68.1	143	4.4	9	2457.8	2498
4460	68.25	149	4.3	9	2460.6	2498
4739	67.35	149	4.55	9	2462.3	2498
5021	73.55	155	4.75	9	2457	2498
5308	73.55	155	5	9	2456.8	2498
5597	68.6	155	5	12	2464.8	2498
5889	72.45	155	5.4	12	2464.7	2498
6179	69	155	6.1	12	2467	2498
6465	67.65	142	5.8	12	2470.5	2498
6747	67.85	142	6.15	12	2468.7	2498
7035	69.5	142	6.1	12	2469.6	2498
7326	69.1	142	6.4	12	2464.8	2498
7619	71.85	142	5.65	12	2465.7	2498
7912	69.25	142	6.3	12	2467.1	2498
8208	69.7	142	6.6	12	2465.6	2498
8502	74.45	142	6.25	12	2464.4	2498
8798	76.3	142	6.3	13	2461.8	2498
9099	74.9	142	6.55	13	2460.6	2498
9403	76.3	142	6.55	13	2460.3	2498
9708	70.75	142	6.8	13	2465.9	2498
10010	65.95	142	7.65	13	2460.2	2498

[Run 10]
20	5.4	17	1.85	3	2488.6	2496
227	27.65	102	2.3	8	2479.1	2496
440	42.6	139	2.45	8	2472.6	2496
661	53.95	139	2.8	8	2469.4	2496
891	56.95	139	2.9	8	2468.4	2496
1125	61.2	139	2.65	8	2467.4	2496
1361	53.6	139	3.35	10	2468.7	2496
1600	57.35	139	3.2	10	2469.8	2496
1839	63.3	139	3.8	11	2464.2	2496
2085	64.85	139	4.05	11	2465.2	2496
2338	61.35	154	4.15	11	2466.7	2496
2596	64.1	154	3.95	12	2466.7	2496
2856	65.35	154	4	12	2463.9	2496
3120	60.85	154	4.4	12	2467	2496
3388	62.25	154	4.4	12	2463.4	2496
3658	67.7	154	4.35	13	2465.4	2496
3929	61	154	4.5	13	2466	2496
4196	64.3	154	4.45	13	2464.3	2496
4465	68.1	154	4.15	12	2462.1	2496
4737	66.2	154	4.65	12	2465.5	2496
5011	65.2	145	4.85	12	2465	2496
5292	63.6	122	5.3	12	2464.9	2496
5577	61.85	122	5.1	12	2468.7	2496
5866	61.7	141	5.35	12	2467	2496
6153	57.1	120	6	12	2467.2	2496
6443	52.75	119	6.35	12	2468	2496
6737	53.45	125	6.5	12	2469.1	2496
7037	56.15	125	6.25	12	2469.2	2496
7336	57.65	139	6.4	12	2467.6	2496
7639	66	146	6.1	12	2463.5	2496
7945	66.25	148	6.25	12	2460.2	2496
8253	65.2	148	6	12	2462.3	2498
8564	64.15	136	6.15	12	2465	2498
8875	60.95	139	6.1	12	2469.4	2498
9191	56.55	139	6.45	12	2471	2498
9509	62.05	161	6.5	12	2464	2498
9828	64.15	161	6	12	2466.7	2498
10151	67.4	161	6.25	12	2465.2	2498

[Run 11]
20	6.2	15	2.1	3	2485.5	2496
226	30.8	127	2.4	5	2476.3	2496
439	40.8	119	2.2	3	2474.2	2496
659	51.4	127	2.45	6	2472.3	2496
888	58.7	127	2.95	6	2466.6	2496
1127	62.25	158	3.2	6	2467.6	2496
1370	65.55	158	3.15	8	2465	2496
1619	62.45	158	3.85	9	2459.1	2498
1875	62.3	158	3.8	9	2460.1	2498
2135	65.4	158	3.7	9	2460.5	2498
2401	72.95	158	3.6	9	2456.5	2498
2668	69.2	158	3.8	9	2464.2	2498
2941	70.15	158	3.7	9	2465.2	2498
3220	68.35	158	4.05	11	2464.9	2498
3504	70.05	158	4.3	11	2464.3	2498
3794	66.4	158	4.5	11	2464	2498
4087	65.1	158	4.3	11	2466	2498
4380	67.1	158	4.1	11	2465.6	2498
4672	62.4	158	4.5	11	2467.8	2498
4967	61.55	158	4.4	11	2469	2498
5260	58.8	158	4.55	11	2467.8	2498
