[Config Log (seed = 1509337035)]
{
  "solution_file": "solutions/bonus_1_p2_f1.txt",
  "log_file": "logs/bonus_1_p2_f1.txt",
  "runs": 30,
  "num_parents": 20,
  "num_offspring": 140,
  "solution_init": "solutions/bonus_1_p1_f1.txt",
  "sharing": false,
  "parent_selection": {
    "selection_weight": "Random",
    "rate_p": 0.8,
    "select_k": 3,
    "replacement": true,
    "adaptive_crossover": true,
    "rate_adjacency_crossover": 0.15
  },
  "survival_selection": {
    "selection_weight": "Truncate",
    "drop_parents": true,
    "rate_p": 1,
    "select_k": 5,
    "replacement": false
  },
  "mutations": {
    "adaptive": true,
    "creep_random": 0.1,
    "rotate_random": 0.1,
    "slide_random": 0.1
  },
  "terminations": {
    "eval_limit": 10000
  },
  "fitness": {
    "length": true,
    "width": false,
    "cut": false,
    "adjacents": false
  }
}




[Results Log]

[Run 0]
105	103.238095238095	158
456	106.933333333333	157
807	112.6	157
1158	117.685714285714	157
1509	122.409523809524	153
1860	126.752380952381	157
2211	128.619047619048	152
2562	130.361904761905	155
2913	133.009523809524	157
3264	133.990476190476	156
3615	134.561904761905	152
3966	135.352380952381	159
4317	136.847619047619	161
4668	136.028571428571	162
5019	135.685714285714	160
5370	137.571428571429	156
5721	137.180952380952	161
6072	135.52380952381	157
6423	136.228571428571	158
6774	136.504761904762	156
7125	135.914285714286	156
7476	136.780952380952	155
7827	137.352380952381	159
8178	138.333333333333	152
8529	139.942857142857	165
8880	139.885714285714	161
9231	138.504761904762	156
9582	139.333333333333	161
9933	137.685714285714	159
10284	138.428571428571	160

[Run 1]
105	103.238095238095	158
456	108.742857142857	158
807	114.752380952381	169
1158	122.742857142857	151
1509	123.342857142857	148
1860	123.72380952381	148
2211	127.809523809524	157
2562	130.542857142857	169
2913	131.6	149
3264	133.561904761905	159
3615	134.114285714286	157
3966	133.428571428571	149
4317	134.466666666667	161
4668	134.895238095238	161
5019	135.133333333333	157
5370	135.07619047619	157
5721	134.742857142857	154
6072	135.27619047619	155
6423	134.72380952381	160
6774	135.6	162
