[Config Log (seed = 1509312927)]
{
  "solution_file": "solutions/general_2.txt",
  "log_file": "logs/general_2.txt",
  "runs": 30,
  "num_parents": 20,
  "num_offspring": 140,
  "solution_init": "",
  "sharing": false,
  "parent_selection": {
    "selection_weight": "Random",
    "rate_p": 0.8,
    "select_k": 3,
    "replacement": true,
    "adaptive_crossover": true,
    "rate_adjacency_crossover": 0.15
  },
  "survival_selection": {
    "selection_weight": "Truncate",
    "drop_parents": true,
    "rate_p": 1,
    "select_k": 5,
    "replacement": false
  },
  "mutations": {
    "adaptive": true,
    "creep_random": 0.1,
    "rotate_random": 0.1,
    "slide_random": 0.1
  },
  "terminations": {
    "eval_limit": 10000
  },
  "fitness": {
    "length": true,
    "width": true,
    "cut": false,
    "adjacents": false
  }
}




[Results Log]

[Run 0]
20	6.45	15	1.7	2
202	145.6	317	1.85	6
403	212.55	317	2.4	6
592	219.6	317	2.6	5
780	235.85	348	2.9	5
973	263.4	352	2.9	6
1162	243.35	351	3.25	8
1355	200.55	352	4.1	8
1551	176.25	342	4.5	10
1749	191.05	328	4.3	8
1943	202.2	317	4.5	8
2142	230.75	318	4.2	8
2344	229.35	331	4.2	7
2543	238.9	329	4.15	9
2742	235.35	329	3.8	8
2941	235.95	317	3.95	8
3141	258.85	329	3.55	7
3342	246.65	343	3.5	8
3544	262.15	329	3.1	6
3746	252.1	328	3.25	5
3948	255.25	319	2.9	6
4150	218.6	313	3.6	6
4352	245.7	321	3.2	8
4554	238.25	322	3.35	7
4756	254.05	322	3.6	6
4956	269.3	322	2.8	7
5157	238.9	326	3.6	8
5358	242.45	326	3.8	8
5557	247.25	326	4.25	8
5755	260.8	317	3.75	8
5952	244.05	317	4.2	8
6149	215.8	317	4.65	9
6346	203.7	317	4.85	10
6542	214.45	315	4.2	8
6740	217.15	339	4.05	8
6938	192.35	338	4.9	9
7137	193.45	313	4.9	9
7336	208.65	313	5	9
7536	195.05	316	5.4	9
7737	222.2	308	5.1	8
7938	240.25	325	4.65	8
8139	234.25	315	4.45	11
8341	225.15	319	4.45	9
8545	249.2	311	3.85	8
8749	230.1	315	4.05	8
8954	215.05	316	4.6	8
9160	249.85	318	3.9	8
9365	242.15	318	4.1	8
9570	255.55	327	4.05	7
9776	251	315	4.45	10
9975	244.4	321	4.05	9
10175	238.65	323	3.95	9

[Run 1]
20	5.15	17	1.75	2
203	137.8	295	2.1	4
405	214.9	295	2.05	4
598	215.1	314	2.85	8
788	206.7	315	3.15	8
983	216.05	315	3.3	8
1174	237.9	318	3.35	7
1374	250.85	318	3.45	8
1572	260.25	318	3.3	8
1772	243.85	332	3	5
1975	277.9	332	2.65	5
2174	281.65	329	2.85	5
2373	275.15	336	3.2	8
2577	208.2	322	4.15	9
2778	202.1	334	3.9	9
2977	217.75	323	3.8	8
3173	259.75	314	3.3	7
3369	266.3	314	3.15	6
3561	259.8	314	3.3	6
3754	284.4	314	2.35	7
3947	284.4	316	2.3	7
4141	279.2	323	2.65	7
4335	285.1	323	2.6	5
4529	296.55	325	2.65	4
4725	278.25	334	2.65	6
4920	285.85	335	2.7	4
5114	307.25	331	2.45	4
5311	310.55	342	2.7	8
5510	300.1	342	2.5	5
5703	283.25	340	3.1	5
5896	313.8	339	2.5	5
6090	313.65	337	2.5	8
6283	289.8	339	2.65	7
6474	284.15	342	2.65	6
6665	268.35	342	2.85	5
6856	297.6	342	2.05	5
7047	298.55	338	2.15	8
7238	302.6	338	2.45	6
7430	273.1	341	3.15	11
7623	281.15	346	2.95	7
7816	253.9	348	3.9	7
8010	295.2	346	3.05	6
8204	291.5	354	2.95	7
8399	268.2	352	3.9	9
8593	239.55	347	4.5	9
8787	245.95	347	4.25	8
8980	276.9	307	3.65	8
9175	288.25	307	2.85	7
9372	282.15	314	3.1	7
9568	300.45	314	2.15	6
9764	286.1	321	2.3	7
9960	253.15	336	2.7	8
10156	247.3	336	2.95	8

[Run 2]
20	5.45	16	1.9	2
201	170.05	269	1.7	4
400	258.75	294	2.25	5
592	249.55	312	2.75	5
786	249.9	329	3.3	8
978	261.15	326	3.4	8
1165	272.35	328	3.05	8
1355	232.5	334	3.6	10
1544	212.3	340	3.6	10
1733	201.6	343	4	8
1923	166.9	335	5	8
2113	198.25	331	4.1	9
2305	181.65	321	4.7	8
2498	226.65	317	3.95	8
2690	236.6	316	3.8	8
2885	225.65	318	4.2	8
3083	226.85	316	4.75	8
3283	226.25	318	4.8	9
3483	223.6	310	5.45	9
3682	232.45	310	5.5	8
3875	260.55	313	4.4	8
4064	275.45	313	4.2	7
4255	249.1	324	4.85	8
4447	251.35	325	4.65	8
4641	243.4	323	4.55	8
4835	237.9	331	4.4	9
5030	243.45	331	4.15	9
5225	257.55	326	3.55	8
5420	263.55	326	3.9	7
5615	252	317	4.5	9
5810	261.3	322	4.6	7
6006	255.95	324	4.4	7
6202	273.95	324	3.6	7
6398	282.6	330	3.7	8
6594	261	327	3.75	9
6789	270.6	340	4.1	8
6983	274.15	331	4	8
7175	281.05	331	3.7	7
7366	271.5	331	4.4	8
7557	274.15	340	4.2	7
7750	249.35	340	4.8	9
7941	269.35	340	4.05	7
8132	284.25	341	3.6	7
8323	291.4	347	3.3	6
8516	279.25	341	3.45	7
8709	237.2	341	3.65	9
8902	246.6	340	3.6	10
9096	287.1	340	3	8
9291	275.8	346	3.3	7
9486	271.35	350	3.1	7
9681	271.1	350	3.4	7
9876	285.05	350	3.7	7
10071	287.75	341	4	7

[Run 3]
20	6.4	17	1.75	2
202	141.75	292	1.55	3
402	203.35	299	2.15	5
600	215.7	311	2.5	5
787	206.85	313	3.3	6
980	264.9	303	2.45	5
1172	259.8	312	3.05	8
1367	232.95	323	3.7	8
1562	276	323	3.3	7
1755	246.2	313	4.4	7
1949	235.5	303	4.65	9
2146	243.35	324	4.65	8
2345	240.25	326	4.55	8
2537	254.6	316	4.2	8
2734	255.6	338	3.9	8
2929	229.55	324	4.15	8
3128	240.7	324	4.45	8
3325	243.35	332	4.3	9
3521	254.5	332	4.4	8
3715	263.8	332	3.9	7
3906	248.2	340	3.8	8
4097	269.55	333	3.25	7
4288	287.8	335	3	7
4480	281.15	333	3.15	7
4672	275.85	335	3.3	10
4865	272.05	337	3.6	8
5059	264.15	338	3.9	8
5253	278.2	338	3.4	8
5447	303.65	337	2.7	6
5641	266.15	337	3.35	7
5836	286.45	337	3.15	7
6032	263.35	339	3.75	6
6228	245.7	339	4.45	7
6424	239.4	308	4.45	10
6621	244.75	315	4.45	7
6818	249.55	311	3.95	9
7014	243.6	330	3.95	10
7210	245.25	330	4.25	8
7406	274.35	322	3.45	6
7602	280.4	324	3.2	6
7798	280.3	307	3.3	6
7994	261.45	311	3.9	6
8190	255.8	314	4.3	9
8386	281.55	317	3.85	6
8582	272.6	321	4.05	8
8778	258.85	323	4.3	9
8974	250.85	317	4.2	8
9170	251.9	328	3.6	8
9366	252.85	328	3.75	6
9562	254.15	323	4	6
9758	241.55	328	4.55	6
9954	253.35	331	4.6	9
10148	260.65	329	4.25	7

[Run 4]
20	4.4	12	1.7	2
201	169.6	296	1.55	3
400	203.6	300	1.95	7
586	241.6	327	2.3	6
775	219.4	312	3.35	9
966	238.9	312	3.2	9
1155	247.45	318	3.1	8
1347	231	318	3.7	7
