[Config Log]
{
  "solution_file": "solutions/solution_adaptive_mutation.txt",
  "log_file": "logs/log_adaptive_mutation.txt",
  "runs": 30,
  "num_parents": 35,
  "num_offspring": 200,
  "force_valid": true,
  "penalty_weight": 2.4,
  "adaptive_penalty": false,
  "adaptive_repair": false,
  "init_repair_chance": 0.1,
  "parent_selection": {
    "selection_weight": "Rank",
    "rate_p": 0.8,
    "select_k": 2,
    "replacement": true,
    "num_mates": 2
  },
  "survival_selection": {
    "selection_weight": "Rank",
    "drop_parents": true,
    "rate_p": 1,
    "select_k": 5,
    "replacement": false
  },
  "mutations": {
    "adaptive": true,
    "rate_per_offspring": 0.75,
    "creep_random": 0.2,
    "creep_stable_random": 0.5,
    "swap_position": 0.5,
    "swap_insertion": 0.2
  },
  "terminations": {
    "eval_limit": 10000
  }
}




[Results Log]

[Run 0]
35	0.75	5.914286	20
157	0.7400846	18.22857	43
278	0.6649275	32.31429	47
405	0.672742	37.17143	46
528	0.7513583	43.42857	67
654	0.7438999	37.14286	63
776	0.6801708	45.25714	64
903	0.6868356	44.4	62
1027	0.7626335	49.17143	61
1153	0.7777217	44.91429	56
1282	0.8389125	44	57
1402	0.7790361	47.05714	61
1520	0.7178582	46.37143	57
1639	0.7469794	52.54286	60
1763	0.7201217	42.37143	59
1880	0.679213	41.08571	48
2001	0.7351275	44.85714	53
2123	0.7265298	54	54
2250	0.6867126	46.94286	49
2371	0.7253587	46.42857	54
2493	0.7533249	45.51429	54
2620	0.8041448	25	25
2747	0.7151517	40.62857	50
2868	0.6573892	42	42
2989	0.5443855	32	32
3111	0.5903907	38	38
3238	0.5417486	46	46
3367	0.5004823	57	57
3494	0.4607422	44.57143	45
3615	0.4074306	56.02857	63
3732	0.4059655	31	31
3864	0.4652492	36	36
3985	0.5064872	43	43
4104	0.5020149	28	28
4228	0.551406	41	41
4353	0.5917782	57.97143	60
4479	0.6466106	36.48571	37
4606	0.5644612	34	34
4733	0.5190568	25	25
4860	0.5664583	29	29
4988	0.6412457	52	52
5107	0.6589813	47.71429	48
5232	0.5805392	42	42
5357	0.4942894	54	54
5483	0.4474371	40	40
5609	0.5021878	39.57143	43
5726	0.5026149	23	23
5855	0.5627081	28	28
5981	0.6178294	53	53
6108	0.6413428	51.42857	57
6228	0.5853961	31	31
6361	0.5711707	38	38
6488	0.5752689	28	28
