11

[Solution]

32,0,1
124,2,2
96,1,0
74,4,0
13,2,0
113,0,2
154,2,0
99,1,2
66,1,3
23,3,3
43,1,2
14,1,2
52,2,1
95,3,1
85,2,0
33,2,0
71,5,0
36,4,1
1,1,2
28,1,0
45,3,2
81,0,1
49,0,0
16,2,0
58,0,0
9,1,3
4,4,2
18,1,1
2,1,0
45,0,0
27,2,1
73,4,1
23,2,0
6,0,1
10,3,2
119,3,1
102,1,0
17,7,3
1,2,2
115,6,0
133,0,1
63,6,0
100,1,3
12,1,2
82,3,1
21,3,1
0,4,0
57,5,1
56,4,2
125,2,1

[Solution]

41,7,0
19,0,1
2,1,0
12,12,0
0,6,3
17,7,1
5,1,3
10,2,3
1,7,2
23,7,3
0,7,2
35,5,2
24,4,0
36,0,0
8,4,0
16,2,3
18,1,0
5,8,3
26,1,0
17,4,0
2,3,2
8,9,2
22,3,1
29,0,0
38,1,0
12,5,0
0,1,0
27,0,0
7,3,2
42,4,2
14,3,0
31,3,0
11,1,0
7,7,1
8,15,0
35,3,1
26,0,1
2,7,0
0,3,3
18,6,2
38,6,0
4,10,3
8,3,1
40,5,0
6,6,0
1,11,3
15,2,3
13,5,0
23,1,1
21,6,2

[Solution]

33,6,3
17,1,1
29,0,3
3,5,2
10,6,0
11,2,1
1,4,0
25,2,1
13,8,1
23,13,0
4,10,3
35,5,2
37,9,3
4,13,0
27,8,0
27,2,0
19,3,3
37,11,2
1,1,3
18,1,0
2,12,1
0,19,2
0,17,0
4,9,0
20,12,0
11,16,2
30,16,3
3,2,3
7,3,0
30,4,0
7,1,1
26,12,0
20,9,0
6,4,1
1,10,0
8,2,1
21,4,2
21,11,0
12,2,3
4,8,1
38,6,0
14,4,3
4,0,0
17,10,0
1,6,0
22,0,3
0,0,0
24,4,1
5,5,2
1,15,0

[Solution]

6,7,1
5,1,2
1,1,0
17,12,0
28,2,3
13,7,2
5,6,3
36,1,2
2,6,2
32,1,0
10,6,3
4,8,1
28,4,2
14,5,0
22,4,0
37,6,1
7,3,3
0,7,1
26,1,0
33,1,0
21,4,1
39,1,1
11,1,2
9,9,3
10,2,1
14,1,0
43,0,3
27,2,1
26,0,3
30,9,1
10,5,2
37,0,0
5,10,3
4,4,1
0,2,3
13,11,3
23,3,2
29,5,0
1,6,2
18,4,0
15,9,1
32,6,3
47,3,2
1,11,2
17,6,3
18,2,0
5,0,2
3,6,0
8,5,2
8,2,1

[Solution]

86,0,0
108,1,3
103,1,1
120,3,0
71,1,3
0,2,1
5,1,0
4,2,3
113,3,0
98,4,2
131,0,2
109,0,2
160,0,2
158,3,1
105,0,3
73,2,2
54,3,3
2,0,0
17,1,3
3,2,2
12,2,3
18,5,0
178,2,0
204,0,0
201,2,2
169,0,3
198,1,0
173,2,2
197,0,1
150,0,1
184,3,0
180,3,1
147,0,0
182,3,1
187,3,0
7,2,0
82,1,2
60,6,2
115,0,3
24,3,0
32,4,3
38,2,0
55,0,0
65,0,3
107,3,1
138,3,1
53,1,2
45,3,2
102,0,1
143,1,3

[Solution]

17,4,1
58,1,2
16,1,0
23,6,3
10,4,2
4,8,1
12,3,0
57,1,1
6,4,0
9,6,3
24,1,2
0,4,3
0,0,3
52,3,1
64,4,0
36,7,2
1,4,2
0,7,3
27,5,2
36,1,1
56,3,1
53,3,1
31,0,3
2,3,0
47,1,0
74,1,0
33,0,1
49,2,0
28,1,2
6,6,3
62,2,1
11,5,1
1,7,0
35,2,0
49,5,1
18,3,3
39,4,3
33,5,0
22,1,0
47,4,3
44,4,3
35,3,3
30,3,0
43,0,2
60,3,3
10,0,0
62,6,1
38,2,0
12,4,2
18,2,1

[Solution]

7,6,1
47,4,3
0,3,0
22,6,3
0,4,2
29,2,0
3,0,0
38,3,2
53,3,0
28,6,2
4,1,3
4,4,2
11,5,3
43,3,0
52,4,0
18,2,1
1,9,1
18,6,2
3,5,1
36,1,2
24,2,0
8,6,1
23,2,1
14,1,0
15,2,0
8,4,2
3,1,0
0,0,0
9,0,1
10,1,1
25,0,1
10,5,3
40,7,0
37,5,1
2,6,3
19,2,0
53,4,3
46,5,3
0,1,2
36,3,1
9,4,1
18,7,0
47,3,1
6,7,2
40,2,0
1,4,3
38,1,0
7,2,3
39,3,2
12,7,0

[Solution]

8,0,0
6,3,2
1,3,1
4,5,3
2,2,3
53,2,1
23,3,1
64,2,1
62,4,1
71,4,0
82,3,2
7,1,0
32,4,3
49,4,1
64,4,2
57,0,0
68,3,0
53,0,2
51,3,2
80,0,2
83,3,0
39,7,0
42,0,2
40,4,0
37,2,2
55,7,0
28,0,3
12,0,0
21,0,3
8,3,0
22,1,3
10,5,0
0,4,0
45,4,1
28,2,2
46,0,0
66,0,2
14,5,2
20,3,0
41,3,0
69,2,1
9,3,0
5,2,0
16,5,0
24,1,0
2,3,0
89,0,0
3,4,0
39,3,1
56,3,1

[Solution]

40,0,1
30,3,0
2,0,3
2,6,3
5,4,1
24,3,1
21,3,1
23,1,3
5,0,2
5,5,0
54,0,1
26,5,1
31,0,3
21,8,1
10,6,1
17,0,0
33,1,1
38,2,3
8,1,0
20,1,0
28,2,1
10,11,2
13,1,3
39,3,1
49,2,0
23,0,1
6,1,2
15,0,0
35,1,0
28,5,0
0,5,0
65,5,1
21,4,0
14,0,0
7,0,3
1,1,0
6,4,2
20,6,0
22,6,0
15,6,1
46,6,0
20,3,2
48,0,2
32,1,2
26,1,0
6,3,0
1,5,3
25,3,0
12,5,3
16,6,0

[Solution]

40,2,1
28,3,0
21,0,0
50,5,0
65,0,3
1,8,2
41,4,0
43,0,3
0,3,0
74,3,3
8,0,3
32,0,0
57,4,0
14,3,1
46,4,0
1,3,0
48,3,0
43,2,0
2,1,0
73,1,1
9,7,3
20,6,3
2,0,2
44,3,2
0,5,1
29,2,0
24,1,0
3,4,0
19,1,0
7,3,1
0,4,1
39,4,1
21,1,0
76,1,1
64,7,1
69,2,0
35,5,3
59,2,0
26,1,3
74,4,2
59,0,0
104,3,0
31,2,3
5,1,3
8,2,2
5,4,3
52,0,2
79,0,0
94,2,1
15,3,1

[Solution]

9,8,2
29,2,2
37,1,0
2,11,3
27,1,2
31,4,2
28,9,3
6,12,3
20,3,2
12,9,0
13,7,1
0,4,3
0,13,0
14,6,0
2,9,0
3,1,3
27,6,0
18,9,3
13,1,0
19,2,0
10,3,2
40,8,1
8,1,1
23,3,1
4,1,1
24,2,0
25,2,2
20,1,0
1,5,0
10,2,0
28,2,0
14,3,1
1,10,1
21,4,1
2,5,3
31,1,0
11,11,0
26,5,2
5,2,1
18,3,0
4,7,0
24,7,3
34,3,1
44,7,0
29,11,0
8,3,3
33,0,2
2,0,1
45,4,2
35,5,1
